playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
machama01,2013,1,BAL,AL,156,667,88,189,51,3,14,71,6,7,29,113,0,2,9,3,15
castrst01,2013,1,CHN,NL,161,666,59,163,34,2,10,44,9,6,30,129,0,7,1,1,21
murphda08,2013,1,NYN,NL,161,658,92,188,38,4,13,78,23,3,32,95,2,2,0,5,13
jonesad01,2013,1,BAL,AL,160,653,100,186,35,1,33,108,14,3,25,136,4,8,0,3,15
pedrodu01,2013,1,BOS,AL,160,641,91,193,42,2,9,84,17,5,73,75,4,3,0,7,24
ramiral03,2013,1,CHA,AL,158,637,68,181,39,2,6,48,30,9,26,68,2,3,4,4,17
markani01,2013,1,BAL,AL,160,634,89,172,24,0,10,59,1,2,55,76,3,3,0,8,17
gordoal01,2013,1,KCA,AL,156,633,90,168,27,6,20,81,11,3,52,141,7,9,0,6,4
beltrad01,2013,1,TEX,AL,161,631,88,199,32,0,30,92,1,0,50,78,12,7,0,2,17
pencehu01,2013,1,SFN,NL,162,629,91,178,35,5,27,99,22,3,52,115,3,3,0,3,17
altuvjo01,2013,1,HOU,AL,152,626,64,177,31,2,5,52,35,13,32,85,5,2,4,8,24
bruceja01,2013,1,CIN,NL,160,626,89,164,43,1,30,109,7,3,63,185,13,2,0,5,9
carpema01,2013,1,SLN,NL,157,626,126,199,55,7,11,78,3,3,72,98,1,9,3,7,4
fieldpr01,2013,1,DET,AL,162,624,82,174,36,0,25,106,1,1,75,117,5,9,0,4,20
hosmeer01,2013,1,KCA,AL,159,623,86,188,34,3,17,79,11,4,51,100,4,1,1,4,15
andruel01,2013,1,TEX,AL,156,620,91,168,17,4,4,67,42,8,52,97,1,4,16,6,19
trumbma01,2013,1,LAA,AL,159,620,85,145,30,2,34,100,5,2,54,184,6,0,0,4,18
seageky01,2013,1,SEA,AL,160,615,79,160,32,2,22,69,9,3,68,122,1,7,0,5,8
longoev01,2013,1,TBA,AL,160,614,91,165,39,3,32,88,1,0,70,162,10,3,0,6,16
zobribe01,2013,1,TBA,AL,157,612,77,168,36,3,12,71,11,3,72,91,4,7,1,6,18
spande01,2013,1,WAS,NL,153,610,75,170,28,11,4,47,20,6,42,77,0,2,7,1,11
pradoma01,2013,1,ARI,NL,155,609,70,172,36,2,14,82,3,5,47,53,2,2,0,6,29
deazaal01,2013,1,CHA,AL,153,607,84,160,27,4,17,62,20,8,50,147,1,6,6,6,8
escobal02,2013,1,KCA,AL,158,607,57,142,20,4,4,52,22,0,19,84,1,3,9,4,12
hunteto01,2013,1,DET,AL,144,606,90,184,37,5,17,84,3,2,26,113,0,7,3,10,11
phillbr01,2013,1,CIN,NL,151,606,80,158,24,2,18,103,5,3,39,98,6,8,4,9,19
rizzoan01,2013,1,CHN,NL,160,606,71,141,40,2,23,80,6,5,76,127,7,6,0,2,12
simmoan01,2013,1,ATL,NL,157,606,76,150,27,6,17,59,6,5,40,55,1,3,5,4,16
canoro01,2013,1,NYA,AL,160,605,81,190,41,0,27,107,7,1,65,85,16,6,0,5,18
martivi01,2013,1,DET,AL,159,605,68,182,36,0,14,83,0,2,54,62,10,1,0,8,23
lowrije01,2013,1,OAK,AL,154,603,80,175,45,2,15,75,1,0,50,91,3,2,3,4,17
goldspa01,2013,1,ARI,NL,160,602,103,182,36,3,36,125,15,7,99,145,19,3,0,5,25
moralke01,2013,1,SEA,AL,156,602,64,167,34,0,23,80,0,0,49,114,6,5,0,1,21
hardyjj01,2013,1,BAL,AL,159,601,66,158,27,0,25,76,2,1,38,73,3,0,3,2,14
parrage01,2013,1,ARI,NL,156,601,79,161,43,4,10,48,10,10,48,100,3,3,7,4,12
desmoia01,2013,1,WAS,NL,158,600,77,168,38,3,20,80,21,6,43,145,3,5,2,5,16
rolliji01,2013,1,PHI,NL,160,600,65,151,36,2,6,39,22,6,59,93,6,1,3,3,12
aokino01,2013,1,MIL,NL,155,597,80,171,20,3,8,37,20,12,55,40,1,11,8,3,9
troutmi01,2013,1,LAA,AL,157,589,109,190,39,9,27,97,33,7,110,136,10,9,0,8,8
segurje01,2013,1,MIL,NL,146,588,74,173,20,10,12,49,44,13,25,84,1,6,2,2,17
davisch02,2013,1,BAL,AL,160,584,103,167,42,1,53,138,4,1,72,199,12,10,0,7,4
gonzaad01,2013,1,LAN,NL,157,583,69,171,32,0,22,100,1,0,47,98,6,1,0,10,12
mccutan01,2013,1,PIT,NL,157,583,97,185,38,5,21,84,27,10,78,101,12,9,0,4,13
butlebi03,2013,1,KCA,AL,162,582,62,168,27,0,15,82,0,0,79,102,11,3,0,4,28
vottojo01,2013,1,CIN,NL,162,581,101,177,30,3,24,73,6,3,135,138,19,4,0,6,15
donaljo02,2013,1,OAK,AL,158,579,89,174,37,3,24,93,5,2,76,110,2,6,1,6,15
ellsbja01,2013,1,BOS,AL,134,577,92,172,31,8,9,53,52,4,47,92,3,5,1,2,12
hamiljo03,2013,1,LAA,AL,151,576,73,144,32,5,21,79,4,0,47,158,4,4,0,9,16
choosh01,2013,1,CIN,NL,154,569,107,162,34,2,21,54,20,11,112,133,5,26,3,2,3
zimmery01,2013,1,WAS,NL,147,568,84,156,26,2,26,79,6,0,60,133,2,2,0,3,16
cozarza01,2013,1,CIN,NL,151,567,74,144,30,3,12,63,0,0,26,102,2,2,13,10,18
kipnija01,2013,1,CLE,AL,149,564,86,160,36,4,17,84,30,7,76,143,3,3,5,10,10
alvarpe01,2013,1,PIT,NL,152,558,70,130,22,2,36,100,2,0,48,186,7,4,0,4,16
doziebr01,2013,1,MIN,AL,147,558,72,136,33,4,18,66,14,7,51,120,0,6,3,4,14
uptonju01,2013,1,ATL,NL,149,558,94,147,27,2,27,70,8,1,75,161,4,5,1,4,12
brantmi02,2013,1,CLE,AL,151,556,66,158,26,3,10,73,17,4,40,67,1,4,3,8,11
