,playerID,salary,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
11,alexama02,612500.00,1999,1,CHN,NL,90,177,17,48,11,2,0,15,4,0,10,38,0,0,1,1,1
719,spiezsc01,600000.00,1999,1,OAK,AL,89,247,31,60,24,0,8,33,0,0,29,36,3,2,1,3,5
427,lewisma01,600000.00,1999,1,CIN,NL,88,173,18,44,16,0,6,28,0,0,7,24,1,0,2,2,8
188,dunstsh01,600000.00,1999,1,SLN,NL,62,150,23,46,5,2,5,25,6,3,2,23,0,3,2,1,4
581,paquecr01,595000.00,1999,1,SLN,NL,48,157,21,45,6,0,10,37,1,0,6,38,0,0,1,2,6
627,rebouje01,575000.00,1999,1,BAL,AL,99,154,25,25,4,0,0,4,1,0,33,29,0,2,3,0,1
31,ariasal01,550000.00,1999,1,PHI,NL,118,347,43,105,20,1,4,48,2,2,36,31,6,4,1,2,12
578,palmeor01,550000.00,1999,1,ANA,AL,109,317,46,88,12,1,1,23,5,5,39,30,1,6,6,3,4
418,ledesaa01,525000.00,1999,1,TBA,AL,93,294,32,78,15,0,0,30,1,1,14,35,1,3,1,0,14
181,difelmi01,525000.00,1999,1,TBA,AL,51,179,21,55,11,0,6,27,0,0,8,23,0,3,0,1,1
155,cordoma01,500000.00,1999,1,MIN,AL,124,425,62,121,28,3,14,70,13,4,48,96,2,9,0,6,22
338,hockide01,500000.00,1999,1,MIN,AL,136,386,47,103,18,2,7,41,11,7,22,54,1,3,4,6,10
422,leetr01,500000.00,1999,1,ARI,NL,120,375,57,89,16,2,9,50,17,3,58,50,4,0,0,3,10
411,kreutch01,500000.00,1999,1,KCA,AL,107,324,31,73,15,0,5,35,0,0,34,65,1,6,2,2,16
1,abbotku01,500000.00,1999,1,COL,NL,96,286,41,78,17,2,8,41,3,2,16,69,0,0,2,1,4
354,huskebu01,500000.00,1999,1,SEA,AL,74,262,44,76,9,0,15,49,3,1,27,45,0,0,0,3,3
49,bautida01,500000.00,1999,1,FLO,NL,70,205,32,59,10,1,5,24,3,0,4,30,0,1,0,1,5
187,duceyro01,500000.00,1999,1,PHI,NL,104,188,29,49,10,2,8,33,2,1,38,57,1,0,0,1,1
616,prattto02,500000.00,1999,1,NYN,NL,71,140,18,41,4,0,3,21,2,0,15,32,0,3,0,2,0
50,beckeri01,500000.00,1999,1,MIL,NL,89,139,15,35,5,2,5,16,5,0,33,38,0,0,2,0,4
20,amarari01,500000.00,1999,1,BAL,AL,91,137,21,38,8,1,0,11,9,6,15,20,0,1,1,2,1
563,olivejo01,500000.00,1999,1,PIT,NL,45,134,10,27,8,0,1,13,2,0,10,33,0,0,0,2,4
691,sefcike01,475000.00,1999,1,PHI,NL,111,209,28,58,15,3,1,11,9,4,29,24,0,1,3,0,4
233,francma01,462500.00,1999,1,NYN,NL,122,132,18,31,5,0,4,21,0,0,28,21,3,0,0,1,9
567,ordonma01,425000.00,1999,1,CHA,AL,157,624,100,188,34,3,30,117,13,6,47,64,4,1,0,5,24
122,castial01,425000.00,1999,1,SLN,NL,93,255,21,67,8,0,4,31,0,0,24,48,1,2,5,4,6
121,caseyse01,400000.00,1999,1,CIN,NL,151,594,103,197,42,3,25,99,0,2,61,88,13,9,0,5,15
573,osikke01,400000.00,1999,1,PIT,NL,66,167,12,31,3,1,2,13,0,0,11,30,0,1,1,1,8
162,cruzjo02,395000.00,1999,1,TOR,AL,106,349,63,84,19,3,14,45,14,4,64,91,5,0,1,0,6
275,greenwi01,395000.00,1999,1,TOR,AL,81,226,22,46,7,0,12,41,0,0,20,56,0,0,0,2,4
123,castilu01,390000.00,1999,1,FLO,NL,128,487,76,147,23,4,0,28,50,17,67,85,0,0,6,3,3
773,varitja01,375000.00,1999,1,BOS,AL,144,483,70,130,39,2,20,76,1,2,46,85,2,2,5,8,13
288,guilljo01,375000.00,1999,2,TBA,AL,47,168,24,41,10,0,2,13,0,0,10,36,1,7,0,1,9
575,owenser01,370000.00,1999,1,SDN,NL,149,440,55,117,22,3,9,61,33,7,38,50,2,3,2,2,12
63,beltrca01,350000.00,1999,1,KCA,AL,156,663,112,194,27,7,22,108,27,8,46,123,2,4,0,10,17
375,johnsla03,350000.00,1999,1,CHN,NL,95,335,46,87,11,6,1,21,13,3,37,20,0,0,4,1,6
242,gaettga01,350000.00,1999,1,CHN,NL,113,280,22,57,9,1,9,46,0,1,21,51,0,2,0,5,5
520,mordemi01,350000.00,1999,1,MON,NL,109,226,29,53,10,2,5,25,2,5,20,31,0,1,1,2,1
637,relafde01,345000.00,1999,1,PHI,NL,65,211,31,51,11,2,1,26,4,3,19,34,2,6,6,0,5
784,vidrojo01,340000.00,1999,1,MON,NL,140,494,67,150,45,2,12,59,0,4,29,51,2,4,2,2,12
333,hidalri01,330000.00,1999,1,HOU,NL,108,383,49,87,25,2,15,56,8,5,56,73,2,4,0,5,5
202,encarju01,325000.00,1999,1,DET,AL,132,509,62,130,30,6,19,74,33,12,14,113,1,9,4,2,12
410,kotsama01,324000.00,1999,1,FLO,NL,148,495,57,134,23,9,8,50,7,6,29,50,5,0,2,9,11
795,walketo04,322500.00,1999,1,MIN,AL,143,531,62,148,37,4,6,46,18,10,52,83,5,1,0,2,15
38,avenbr01,320000.00,1999,1,FLO,NL,137,381,57,110,19,2,12,70,3,0,44,82,1,9,0,6,6
100,brownbr01,315000.00,1999,1,PIT,NL,130,341,49,79,20,3,16,58,3,4,22,114,3,4,0,4,4
239,fullmbr01,310000.00,1999,1,MON,NL,100,347,38,96,34,2,9,47,2,3,22,35,6,2,0,3,14
408,konerpa01,305000.00,1999,1,CHA,AL,142,513,71,151,31,4,24,81,1,0,45,68,0,2,1,3,19
125,catalfr01,305000.00,1999,1,DET,AL,100,286,41,79,19,0,11,35,3,4,15,49,1,9,0,5,5
524,morriwa02,300000.00,1999,1,PIT,NL,147,511,65,147,20,3,15,73,3,7,59,88,3,2,4,5,12
352,huntebr02,300000.00,1999,2,SEA,AL,121,484,71,112,11,5,4,34,44,5,32,80,0,1,3,7,8
86,booneaa01,300000.00,1999,1,CIN,NL,139,472,56,132,26,5,14,72,17,6,30,79,2,8,5,5,6
503,milleda02,300000.00,1999,1,ARI,NL,86,296,35,80,19,0,11,47,0,0,19,78,3,2,0,3,6
313,hayesch01,300000.00,1999,1,SFN,NL,95,264,33,54,9,1,6,48,3,1,33,41,0,1,0,3,8
356,husonje01,300000.00,1999,1,ANA,AL,97,225,21,59,7,1,0,18,10,1,16,27,0,0,1,3,9
263,gonzaal02,295000.00,1999,1,FLO,NL,136,560,81,155,28,8,14,59,3,5,15,113,0,12,1,3,13
114,cairomi01,295000.00,1999,1,TBA,AL,120,465,61,137,15,5,3,36,22,7,24,46,0,7,7,5,13
169,daubabr01,295000.00,1999,1,BOS,AL,110,381,61,112,33,3,21,73,0,1,36,92,0,3,0,0,5
71,bergda01,295000.00,1999,1,FLO,NL,109,304,42,87,18,1,3,25,2,2,27,59,0,2,3,0,7
752,tejadmi01,290000.00,1999,1,OAK,AL,159,593,93,149,33,4,21,84,8,7,57,94,3,10,9,5,11
832,wilsopr01,287000.00,1999,1,FLO,NL,149,482,67,135,21,4,26,71,11,4,46,156,3,9,0,6,15
707,singlch01,285000.00,1999,1,CHA,AL,133,496,72,149,31,6,17,72,20,5,22,45,1,1,4,6,10
552,nortogr01,285000.00,1999,1,CHA,AL,132,436,62,111,26,0,16,50,4,4,69,93,3,2,1,2,11
99,brownad01,285000.00,1999,1,PIT,NL,116,226,34,61,5,2,4,17,5,3,33,39,2,1,6,1,5
367,jenkige01,282000.00,1999,1,MIL,NL,135,447,70,140,43,3,21,82,5,1,35,87,7,7,3,1,10
391,kaplega01,280000.00,1999,1,DET,AL,130,416,60,102,22,4,18,49,11,5,42,74,0,2,4,4,7
258,glaustr01,275000.00,1999,1,ANA,AL,154,551,85,132,29,0,29,79,5,1,71,143,1,6,0,3,9
419,leeca01,275000.00,1999,1,CHA,AL,127,492,66,144,32,2,16,84,4,2,13,72,0,4,1,7,11
43,bakopa01,275000.00,1999,1,HOU,NL,73,215,16,55,14,1,2,17,1,1,26,57,3,0,3,3,4
357,ibanera01,275000.00,1999,1,SEA,AL,87,209,23,54,7,0,9,27,5,1,17,32,1,0,0,1,4
550,nixontr01,270000.00,1999,1,BOS,AL,124,381,67,103,22,5,15,52,3,1,53,75,1,3,2,8,7
271,graffto01,270000.00,1999,1,TBA,AL,39,130,20,41,9,4,2,19,3,2,9,22,0,1,2,0,1
47,barremi01,265000.00,1999,1,MON,NL,126,433,53,127,32,3,8,52,0,2,32,39,4,3,0,1,18
113,cabreor01,265000.00,1999,1,MON,NL,104,382,48,97,23,5,8,39,2,2,18,38,4,3,4,0,9
502,millake01,265000.00,1999,1,FLO,NL,105,351,48,100,17,4,9,67,1,0,40,64,2,7,1,8,7
675,saenzol01,260000.00,1999,1,OAK,AL,97,255,41,70,18,0,11,41,1,1,22,47,1,15,0,3,6
378,johnsru01,260000.00,1999,1,HOU,NL,83,156,24,44,10,0,5,23,2,3,20,31,0,0,4,3,3
191,durazer01,260000.00,1999,1,ARI,NL,52,155,31,51,4,2,11,30,1,1,26,43,1,1,0,3,1
449,lowelmi01,255000.00,1999,1,FLO,NL,97,308,32,78,15,0,12,47,0,0,26,69,1,5,0,5,8
765,trammbu01,253000.00,1999,1,TBA,AL,82,283,49,82,19,0,14,39,0,2,43,37,1,1,0,1,7
60,belliro01,250000.00,1999,1,MIL,NL,124,457,60,135,29,4,8,58,4,5,64,59,0,0,6,4,16
217,febleca01,250000.00,1999,1,KCA,AL,123,453,71,116,22,9,10,53,20,4,47,91,0,9,12,3,16
361,jacksda04,250000.00,1999,1,SDN,NL,133,388,56,87,20,2,9,39,34,10,53,105,3,3,0,3,2
829,wilsocr02,250000.00,1999,1,CHA,AL,98,252,28,60,8,1,4,26,1,1,23,22,0,0,6,1,5
376,johnsma02,250000.00,1999,1,CHA,AL,73,207,27,47,11,0,4,16,3,1,36,58,0,2,1,2,2
717,spencsh01,250000.00,1999,1,NYA,AL,71,205,25,48,8,0,8,20,0,4,18,51,0,2,0,1,1
698,sexsori01,247000.00,1999,1,CLE,AL,134,479,72,122,17,7,31,116,3,3,34,117,0,4,0,8,19
409,koskico01,245000.00,1999,1,MIN,AL,117,342,42,106,21,0,11,58,4,4,40,72,4,5,2,3,6
629,redmomi01,245000.00,1999,1,FLO,NL,84,242,22,73,9,0,1,27,0,0,26,34,2,5,5,0,8
236,friasha01,243500.00,1999,1,ARI,NL,69,150,27,41,3,2,1,16,4,3,29,18,2,0,1,0,2
127,chaveer01,240000.00,1999,1,OAK,AL,115,356,47,88,21,2,13,50,1,1,46,56,4,0,0,0,7
464,marreel01,240000.00,1999,1,SLN,NL,114,317,32,61,13,1,6,34,11,2,18,56,4,1,4,3,14
417,ledeeri01,240000.00,1999,1,NYA,AL,88,250,45,69,13,5,9,40,4,3,28,73,5,0,0,2,2
180,diazei01,237500.00,1999,1,CLE,AL,119,392,43,110,21,1,3,32,11,4,23,41,0,5,6,1,10
711,smithbo06,237500.00,1999,1,TBA,AL,68,199,18,36,4,1,3,19,4,4,16,64,0,1,2,1,8
797,wardda01,237500.00,1999,1,HOU,NL,64,150,11,41,6,0,8,30,0,0,9,31,0,0,0,2,3
79,blanche01,235000.00,1999,1,COL,NL,88,263,30,61,12,3,6,28,1,1,34,38,1,1,3,2,4
831,wilsoen01,232500.00,1999,1,CLE,AL,113,332,41,87,22,1,2,24,5,4,25,41,1,1,4,6,12
190,dunwoto01,232500.00,1999,1,FLO,NL,64,186,20,41,6,3,2,20,3,4,12,41,0,1,0,1,1
612,posesc01,232500.00,1999,1,KCA,AL,86,137,27,39,3,0,0,12,6,2,21,22,1,0,1,1,3
292,guzmacr01,230000.00,1999,1,MIN,AL,131,420,47,95,12,3,1,26,9,7,22,90,0,3,7,4,5
251,giambje01,228000.00,1999,1,KCA,AL,90,288,34,82,13,1,3,34,0,0,40,67,5,3,1,4,7
353,hunteto01,225000.00,1999,1,MIN,AL,135,384,52,98,17,2,9,35,10,6,26,72,1,6,1,5,9
383,jonesja04,225000.00,1999,1,MIN,AL,95,322,54,93,24,2,9,44,3,4,17,63,1,4,1,3,7
421,leede02,225000.00,1999,1,FLO,NL,70,218,21,45,9,1,5,20,2,1,17,70,1,0,0,1,3
650,riosar01,225000.00,1999,1,SFN,NL,72,150,32,49,9,0,7,29,7,4,24,35,1,1,1,1,3
132,chrisry01,221000.00,1999,1,OAK,AL,106,268,41,56,12,1,4,24,7,5,38,58,0,1,8,4,6
6,agbaybe01,220000.00,1999,1,NYN,NL,101,276,42,79,18,3,14,42,6,4,32,60,4,3,0,3,8
606,polanpl01,220000.00,1999,1,SLN,NL,88,220,24,61,9,3,1,19,1,3,15,24,1,0,3,2,7
470,martira03,220000.00,1999,1,SFN,NL,61,144,21,38,6,0,5,19,1,2,14,17,0,0,6,1,2
548,nievejo01,217500.00,1999,1,CHN,NL,54,181,16,45,9,1,2,18,0,2,8,25,0,4,3,3,5
139,clemeed02,215000.00,1999,1,COL,NL,57,162,24,41,10,2,8,25,0,0,7,46,0,0,1,1,4
330,hernara02,211000.00,1999,1,OAK,AL,40,136,13,38,7,0,3,21,1,0,18,11,0,1,1,2,5
80,blumge01,210000.00,1999,1,MON,NL,45,133,21,32,7,2,8,18,1,0,17,25,3,0,3,0,3
296,hairsje02,205000.00,1999,1,BAL,AL,50,175,26,47,12,1,4,17,9,4,11,24,0,3,4,0,2
