,yearID_x,teamID_x,lgID_x,playerID,POS,salary,yearID_y,stint,teamID_y,lgID_y,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
266,2003,COL,NL,kaplega01,OF,3425000,2002,1,TEX,AL,72,196,25,51,12,1,0,17,5,2,8,30,0,0,7,3,3
744,2003,SLN,NL,palmeor01,OF,700000,2002,1,ANA,AL,110,263,35,79,12,1,0,31,7,2,30,22,1,0,4,3,7
177,2003,CHN,NL,goodwto01,OF,635000,2002,1,SFN,NL,78,154,23,40,5,2,1,17,16,2,14,25,0,0,3,0,3
788,2003,TEX,AL,greerru01,OF,7000000,2002,1,TEX,AL,51,199,24,59,9,2,1,17,1,0,19,17,0,0,0,1,5
332,2003,FLO,NL,pierrju01,OF,1000000,2002,1,COL,NL,152,592,90,170,20,5,1,35,47,12,31,52,0,9,8,0,7
156,2003,CHA,AL,riosar01,OF,450000,2002,1,PIT,NL,76,208,20,55,11,0,1,24,1,1,16,39,1,1,0,1,8
748,2003,SLN,NL,robinke02,OF,320000,2002,1,SLN,NL,124,181,27,47,7,4,1,15,7,4,11,29,3,0,2,1,1
441,2003,MIL,NL,sanchal03,OF,340000,2002,1,MIL,NL,112,394,55,114,10,7,1,33,37,14,31,62,0,2,6,2,4
763,2003,TBA,AL,crawfca02,OF,300000,2002,1,TBA,AL,63,259,23,67,11,6,2,30,9,5,9,41,0,3,6,1,0
295,2003,DET,AL,kingsge01,OF,340000,2002,2,SDN,NL,89,216,27,60,10,3,2,28,9,2,20,47,0,3,3,1,5
52,2003,ATL,NL,braggda01,OF,450000,2002,1,ATL,NL,109,212,34,57,15,2,3,15,5,2,24,52,0,2,1,1,4
810,2003,TOR,AL,catalfr01,OF,2200000,2002,1,TEX,AL,68,212,42,57,16,6,3,23,9,5,25,27,0,8,3,2,3
422,2003,MIL,NL,contija01,OF,300000,2002,1,TBA,AL,78,222,26,57,15,2,3,21,4,2,18,55,1,1,4,0,5
180,2003,CHN,NL,harrile01,OF,800000,2002,1,MIL,NL,122,197,23,60,8,2,3,17,4,1,14,17,1,2,1,1,4
353,2003,HOU,NL,huntebr02,OF,1200000,2002,1,HOU,NL,98,201,32,54,16,3,3,20,5,0,16,39,0,2,1,0,3
41,2003,ARI,NL,mccraqu01,OF,1750000,2002,1,ARI,NL,123,349,60,108,27,8,3,40,5,4,32,68,0,2,13,4,3
184,2003,CHN,NL,oleartr01,OF,750000,2002,1,MON,NL,97,273,27,78,12,2,3,37,1,2,34,47,5,3,4,0,6
413,2003,LAN,NL,roberda07,OF,400000,2002,1,LAN,NL,127,422,63,117,14,7,3,34,45,10,48,51,0,2,6,1,1
446,2003,MIL,NL,younger01,OF,2000000,2002,1,MIL,NL,138,496,57,139,29,3,3,28,31,11,39,38,0,6,8,4,14
14,2003,ANA,AL,owenser01,OF,925000,2002,1,FLO,NL,131,385,44,104,15,5,4,37,26,9,31,33,1,0,8,1,11
300,2003,DET,AL,paquecr01,OF,2625000,2002,1,DET,AL,72,252,20,49,14,1,4,20,1,0,10,53,0,0,1,3,7
720,2003,SFN,NL,riverru01,OF,500000,2002,1,TEX,AL,69,158,17,33,4,0,4,14,4,2,17,45,0,5,4,2,2
644,2003,SDN,NL,buchabr01,OF,325000,2002,1,MIN,AL,44,135,19,34,5,1,5,15,2,1,6,33,0,2,0,0,4
578,2003,OAK,AL,piattad01,OF,322000,2002,1,OAK,AL,55,137,18,32,8,0,5,18,2,1,12,33,0,2,0,1,1
492,2003,MON,NL,schnebr01,OF,310000,2002,1,MON,NL,73,207,21,57,19,2,5,29,1,2,21,41,8,0,2,2,7
30,2003,ARI,NL,bautida01,OF,3000000,2002,1,ARI,NL,40,154,22,50,5,2,6,23,4,2,11,21,2,0,0,1,4
372,2003,KCA,AL,bergebr01,OF,304000,2002,1,KCA,AL,51,134,16,27,5,1,6,17,1,0,8,32,2,2,0,1,2
481,2003,MON,NL,cordewi01,OF,600000,2002,2,MON,NL,66,143,21,39,9,0,6,29,2,0,17,26,0,2,0,4,3
59,2003,ATL,NL,francma01,OF,800000,2002,1,ATL,NL,81,205,25,65,15,4,6,30,1,0,27,31,2,0,0,1,5
785,2003,TEX,AL,glanvdo01,OF,1000000,2002,1,PHI,NL,138,422,49,105,16,3,6,29,19,2,25,57,4,2,8,3,5
431,2003,MIL,NL,helmswe01,OF,575000,2002,1,ATL,NL,85,210,20,51,16,0,6,22,1,1,11,57,2,3,1,6,5
357,2003,HOU,NL,merceor01,OF,1700000,2002,1,HOU,NL,123,251,35,72,13,3,6,30,4,0,26,50,5,0,1,3,9
247,2003,CLE,AL,selbybi01,OF,325000,2002,1,CLE,AL,65,159,15,34,7,2,6,21,0,1,15,27,2,0,0,2,4
248,2003,CLE,AL,spencsh01,OF,600000,2002,1,NYA,AL,94,288,32,71,15,2,6,34,0,3,31,62,4,4,2,4,5
444,2003,MIL,NL,vandejo02,OF,550000,2002,1,NYA,AL,84,219,30,57,17,1,6,20,1,1,23,58,3,0,0,3,7
532,2003,NYN,NL,cedenro01,OF,4875000,2002,1,NYN,NL,149,511,65,133,19,2,7,41,25,4,42,92,1,2,5,2,10
32,2003,ARI,NL,delluda01,OF,900000,2002,1,ARI,NL,97,229,34,56,11,2,7,29,2,4,28,55,5,1,0,3,7
400,2003,LAN,NL,hermach01,OF,312500,2002,1,PIT,NL,65,194,22,40,11,1,7,15,7,5,17,68,0,1,3,1,1
9,2003,ANA,AL,kennead01,OF,2270000,2002,1,ANA,AL,144,474,65,148,32,6,7,52,17,4,19,80,1,7,5,4,5
487,2003,MON,NL,liefeje01,OF,320000,2002,1,CHA,AL,76,204,28,47,8,0,7,26,0,0,19,60,2,0,0,1,3
97,2003,BAL,AL,matthga02,OF,900000,2002,2,BAL,AL,109,344,54,95,25,3,7,38,15,5,43,69,1,1,5,4,4
270,2003,COL,NL,nortogr01,OF,600000,2002,1,COL,NL,113,168,19,37,8,1,7,37,2,3,24,52,0,0,1,2,4
157,2003,CHA,AL,rowanaa01,OF,320000,2002,1,CHA,AL,126,302,41,78,16,2,7,29,0,1,12,54,1,6,9,2,8
308,2003,DET,AL,youngdm01,OF,6750000,2002,1,DET,AL,54,201,25,57,14,0,7,27,2,0,12,39,5,2,0,1,12
111,2003,BOS,AL,giambje01,OF,2000000,2002,1,OAK,AL,42,157,26,43,7,0,8,17,0,0,27,40,0,3,0,0,4
786,2003,TEX,AL,gonzaju03,OF,13000000,2002,1,TEX,AL,70,277,38,78,21,1,8,35,2,0,17,56,1,1,0,1,11
202,2003,CIN,NL,griffke02,OF,12500000,2002,1,CIN,NL,70,197,17,52,8,0,8,23,1,2,28,39,6,3,0,4,6
594,2003,PHI,NL,ledeeri01,OF,850000,2002,1,PHI,NL,96,203,33,46,13,1,8,23,1,2,35,50,0,1,1,1,3
622,2003,PIT,NL,loftoke01,OF,1025000,2002,1,CHA,AL,93,352,68,91,20,6,8,42,22,8,49,51,0,0,4,1,0
273,2003,COL,NL,paytoja01,OF,1850000,2002,1,NYN,NL,87,275,33,78,6,3,8,31,4,1,21,34,0,1,2,1,8
542,2003,NYN,NL,perezti01,OF,312500,2002,1,NYN,NL,136,444,52,131,27,6,8,47,10,6,23,36,2,2,10,2,10
698,2003,SEA,AL,suzukic01,OF,4666667,2002,1,SEA,AL,157,647,111,208,27,8,8,51,31,15,68,62,27,5,3,5,8
227,2003,CLE,AL,bradlmi01,OF,314300,2002,1,CLE,AL,98,325,48,81,18,3,9,38,6,3,32,58,2,0,1,0,12
430,2003,MIL,NL,hammoje01,OF,8200000,2002,1,MIL,NL,128,448,47,115,26,5,9,41,4,5,52,86,0,2,1,7,13
790,2003,TEX,AL,lambmi01,OF,440000,2002,1,TEX,AL,115,314,54,89,13,0,9,33,0,0,33,48,5,3,2,3,7
548,2003,NYN,NL,shinjts01,OF,600000,2002,1,SFN,NL,118,362,42,86,15,3,9,37,5,0,24,46,2,6,3,3,5
581,2003,OAK,AL,singlch01,OF,1200000,2002,1,BAL,AL,136,466,67,122,30,6,9,50,20,2,21,83,0,4,6,5,8
218,2003,CIN,NL,taylore01,OF,334000,2002,1,CIN,NL,135,287,41,73,15,4,9,38,11,8,14,79,3,2,5,3,6
5,2003,ANA,AL,erstada01,OF,7250000,2002,1,ANA,AL,150,625,99,177,28,4,10,73,23,3,27,67,4,2,5,4,9
291,2003,DET,AL,higgibo02,OF,11850000,2002,1,DET,AL,119,444,50,125,24,3,10,63,12,5,41,45,3,6,1,7,8
432,2003,MIL,NL,jenkige01,OF,5187500,2002,1,MIL,NL,67,243,35,59,17,1,10,29,1,2,22,60,1,6,0,1,8
407,2003,LAN,NL,loducpa01,OF,2636667,2002,1,LAN,NL,149,580,74,163,38,1,10,64,3,1,34,31,2,10,4,4,20
745,2003,SLN,NL,perezed01,OF,500000,2002,1,SLN,NL,96,154,22,31,9,0,10,26,0,0,17,36,0,3,1,2,7
