playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
hernago01,2012,2,MIA,NL,45,132,16,28,2,3,3,11,5,2,12,37,0,2,1,0,1
hinsker01,2012,1,ATL,NL,91,132,9,26,7,1,2,13,0,0,14,41,2,0,0,1,5
bakerje03,2012,1,CHN,NL,54,134,16,36,10,1,4,20,4,1,8,28,0,0,0,2,4
drewst01,2012,1,ARI,NL,40,135,17,26,8,1,2,12,0,1,19,35,1,0,0,1,1
burriem01,2012,1,SFN,NL,60,136,15,29,1,0,0,7,5,3,10,25,1,1,2,1,6
flowety01,2012,1,CHA,AL,52,136,19,29,6,0,7,13,2,1,12,56,0,4,1,0,2
floripe01,2012,1,MIN,AL,43,137,16,30,5,2,1,10,3,1,10,30,0,0,3,0,3
hudsoor01,2012,2,CHA,AL,51,137,10,27,3,3,2,17,3,1,12,24,1,0,3,0,3
quinthu01,2012,1,KCA,AL,43,138,7,32,12,0,1,19,0,1,4,28,0,1,0,1,1
coopeda01,2012,1,TOR,AL,45,140,16,42,11,0,4,11,0,1,4,22,0,1,0,0,1
shoppke01,2012,1,BOS,AL,48,140,16,35,12,2,5,17,1,0,11,62,1,5,2,0,2
kratzer01,2012,1,PHI,NL,50,141,14,35,9,0,9,26,0,0,11,34,2,2,0,3,2
stewach01,2012,1,NYA,AL,55,141,15,34,8,0,1,13,2,0,10,21,0,1,3,2,1
chiselo01,2012,1,CLE,AL,43,142,16,38,6,1,5,16,2,1,8,27,0,1,0,0,2
kotsama01,2012,1,SDN,NL,82,143,9,37,8,0,2,14,0,2,11,14,1,1,0,1,2
gonzaad01,2012,2,LAN,NL,36,145,12,43,10,1,3,22,2,0,11,29,1,0,0,1,1
robintr01,2012,1,SEA,AL,46,145,16,32,4,1,3,12,6,3,14,43,1,1,4,0,2
suzukku01,2012,2,WAS,NL,43,146,17,39,5,0,5,25,1,0,11,20,3,2,2,3,2
youklke01,2012,1,BOS,AL,42,146,25,34,7,1,4,14,0,0,14,39,0,4,0,1,4
carreez01,2012,1,CLE,AL,48,147,20,40,6,3,2,11,8,1,8,35,1,1,1,1,3
johnsch05,2012,2,ARI,NL,44,147,12,42,7,2,7,35,1,0,8,40,1,1,1,3,6
kearnau01,2012,1,MIA,NL,87,147,21,36,6,0,4,16,2,1,22,44,1,6,0,0,8
