,playerID,salary,POS,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
357,ibanera01,275000,OF,1999,1,SEA,AL,87,209,23,54,7,0,9,27,5,1,17,32,1,0,0,1,4
502,millake01,265000,OF,1999,1,FLO,NL,105,351,48,100,17,4,9,67,1,0,40,64,2,7,1,8,7
361,jacksda04,250000,SS,1999,1,SDN,NL,133,388,56,87,20,2,9,39,34,10,53,105,3,3,0,3,2
417,ledeeri01,240000,OF,1999,1,NYA,AL,88,250,45,69,13,5,9,40,4,3,28,73,5,0,0,2,2
353,hunteto01,225000,OF,1999,1,MIN,AL,135,384,52,98,17,2,9,35,10,6,26,72,1,6,1,5,9
383,jonesja04,225000,OF,1999,1,MIN,AL,95,322,54,93,24,2,9,44,3,4,17,63,1,4,1,3,7
557,offerjo01,5750000,2B,1999,1,BOS,AL,149,586,107,172,37,11,8,69,18,12,96,79,5,2,2,7,11
254,gilkebe01,5250000,OF,1999,1,ARI,NL,94,204,28,60,16,1,8,39,2,2,29,42,2,2,1,5,7
397,kendaja01,2250000,C,1999,1,PIT,NL,78,280,61,93,20,3,8,41,22,3,38,32,3,12,0,4,8
153,cordewi01,2166667,OF,1999,1,CLE,AL,54,194,35,58,15,0,8,32,2,0,15,37,0,6,0,2,7
428,leyriji01,1000000,C,1999,1,SDN,NL,50,134,17,32,5,0,8,21,0,0,15,37,1,4,0,1,4
556,ochoaal01,862500,OF,1999,1,MIL,NL,119,277,47,83,16,3,8,40,6,4,45,43,2,5,0,2,4
396,kellyro01,800000,OF,1999,1,TEX,AL,87,290,41,87,17,1,8,37,6,1,21,57,0,5,0,2,5
719,spiezsc01,600000,3B,1999,1,OAK,AL,89,247,31,60,24,0,8,33,0,0,29,36,3,2,1,3,5
1,abbotku01,500000,SS,1999,1,COL,NL,96,286,41,78,17,2,8,41,3,2,16,69,0,0,2,1,4
187,duceyro01,500000,OF,1999,1,PHI,NL,104,188,29,49,10,2,8,33,2,1,38,57,1,0,0,1,1
410,kotsama01,324000,OF,1999,1,FLO,NL,148,495,57,134,23,9,8,50,7,6,29,50,5,0,2,9,11
47,barremi01,265000,SS,1999,1,MON,NL,126,433,53,127,32,3,8,52,0,2,32,39,4,3,0,1,18
113,cabreor01,265000,SS,1999,1,MON,NL,104,382,48,97,23,5,8,39,2,2,18,38,4,3,4,0,9
60,belliro01,250000,SS,1999,1,MIL,NL,124,457,60,135,29,4,8,58,4,5,64,59,0,0,6,4,16
717,spencsh01,250000,OF,1999,1,NYA,AL,71,205,25,48,8,0,8,20,0,4,18,51,0,2,0,1,1
797,wardda01,237500,OF,1999,1,HOU,NL,64,150,11,41,6,0,8,30,0,0,9,31,0,0,0,2,3
139,clemeed02,215000,OF,1999,1,COL,NL,57,162,24,41,10,2,8,25,0,0,7,46,0,0,1,1,4
80,blumge01,210000,SS,1999,1,MON,NL,45,133,21,32,7,2,8,18,1,0,17,25,3,0,3,0,3
440,loftoke01,7500000,OF,1999,1,CLE,AL,120,465,110,140,28,6,7,39,25,6,79,84,2,6,5,5,6
830,wilsoda01,4000000,C,1999,1,SEA,AL,123,414,46,110,23,2,7,38,5,0,29,83,4,2,10,2,10
282,grudzma01,3000000,SS,1999,1,LAN,NL,123,488,72,159,23,5,7,46,6,6,31,65,1,10,2,3,13
416,lawtoma02,2000000,OF,1999,1,MIN,AL,118,406,58,105,18,0,7,54,26,4,57,42,7,6,0,7,11
681,santibe01,650000,C,1999,1,CHN,NL,109,350,28,87,18,3,7,36,1,1,32,71,6,2,0,2,12
592,perezed02,650000,C,1999,1,ATL,NL,104,309,30,77,17,0,7,30,0,1,17,40,4,6,4,3,9
338,hockide01,500000,SS,1999,1,MIN,AL,136,386,47,103,18,2,7,41,11,7,22,54,1,3,4,6,10
650,riosar01,225000,OF,1999,1,SFN,NL,72,150,32,49,9,0,7,29,7,4,24,35,1,1,1,1,3
179,deshide01,4209324,2B,1999,1,BAL,AL,96,330,46,87,11,2,6,34,11,8,37,52,0,1,5,1,5
366,jeffegr01,3125000,OF,1999,1,DET,AL,70,205,22,41,8,0,6,18,3,4,13,11,1,4,0,3,9
782,verasqu01,3000000,2B,1999,1,SDN,NL,132,475,95,133,25,2,6,41,30,17,65,88,0,2,1,2,7
18,alomasa02,2700000,C,1999,1,CLE,AL,37,137,19,42,13,0,6,25,0,1,4,23,0,0,1,2,1
486,mclemma01,2000000,OF,1999,1,TEX,AL,144,566,105,155,20,7,6,45,16,8,83,79,2,0,9,6,8
466,martida01,2000000,OF,1999,1,TBA,AL,143,514,79,146,25,5,6,66,13,6,60,76,3,5,10,5,6
103,buforda01,1100000,OF,1999,1,BOS,AL,91,297,39,72,15,2,6,38,9,2,21,74,0,2,1,3,5
772,vandejo02,875000,OF,1999,1,SDN,NL,132,246,26,67,18,0,6,41,2,1,37,59,1,2,0,3,5
230,foxan01,750000,SS,1999,1,ARI,NL,99,274,34,70,12,2,6,33,4,1,33,61,10,9,1,3,4
93,braggda01,750000,OF,1999,1,SLN,NL,93,273,38,71,12,1,6,26,3,0,44,67,1,3,5,0,5
346,howarth01,650000,OF,1999,1,SLN,NL,98,195,16,57,10,0,6,28,1,1,17,26,0,2,0,1,3
427,lewisma01,600000,3B,1999,1,CIN,NL,88,173,18,44,16,0,6,28,0,0,7,24,1,0,2,2,8
181,difelmi01,525000,C,1999,1,TBA,AL,51,179,21,55,11,0,6,27,0,0,8,23,0,3,0,1,1
795,walketo04,322500,2B,1999,1,MIN,AL,143,531,62,148,37,4,6,46,18,10,52,83,5,1,0,2,15
313,hayesch01,300000,OF,1999,1,SFN,NL,95,264,33,54,9,1,6,48,3,1,33,41,0,1,0,3,8
464,marreel01,240000,C,1999,1,SLN,NL,114,317,32,61,13,1,6,34,11,2,18,56,4,1,4,3,14
79,blanche01,235000,OF,1999,1,COL,NL,88,263,30,61,12,3,6,28,1,1,34,38,1,1,3,2,4
197,edmonji01,4500000,OF,1999,1,ANA,AL,55,204,34,51,17,2,5,23,5,4,28,45,0,0,0,1,3
171,daviser01,4420840,OF,1999,1,SLN,NL,58,191,27,49,9,2,5,30,5,4,30,49,1,1,0,1,1
388,joynewa01,3365099,1B,1999,1,SDN,NL,110,323,34,80,14,2,5,43,0,1,58,54,6,2,0,3,8
789,vizquom01,3000000,SS,1999,1,CLE,AL,144,574,112,191,36,4,5,66,42,9,65,50,0,1,17,7,8
446,loretma01,2500000,SS,1999,1,MIL,NL,153,587,93,170,34,5,5,67,4,1,52,59,1,10,9,6,14
165,curtich01,2000000,OF,1999,1,NYA,AL,96,195,37,51,6,0,5,24,8,4,43,35,0,3,1,3,6
110,bushho01,1450000,SS,1999,1,TOR,AL,128,485,69,155,26,4,5,55,32,8,21,82,0,6,8,3,9
143,colbrgr01,1005000,3B,1999,1,ARI,NL,67,135,20,44,5,3,5,24,1,1,12,23,0,4,0,2,3
696,servasc01,625000,C,1999,1,SFN,NL,69,198,21,54,10,0,5,21,0,0,13,31,2,3,3,0,7
188,dunstsh01,600000,OF,1999,1,SLN,NL,62,150,23,46,5,2,5,25,6,3,2,23,0,3,2,1,4
411,kreutch01,500000,C,1999,1,KCA,AL,107,324,31,73,15,0,5,35,0,0,34,65,1,6,2,2,16
49,bautida01,500000,OF,1999,1,FLO,NL,70,205,32,59,10,1,5,24,3,0,4,30,0,1,0,1,5
50,beckeri01,500000,OF,1999,1,MIL,NL,89,139,15,35,5,2,5,16,5,0,33,38,0,0,2,0,4
520,mordemi01,350000,SS,1999,1,MON,NL,109,226,29,53,10,2,5,25,2,5,20,31,0,1,1,2,1
378,johnsru01,260000,SS,1999,1,HOU,NL,83,156,24,44,10,0,5,23,2,3,20,31,0,0,4,3,3
421,leede02,225000,1B,1999,1,FLO,NL,70,218,21,45,9,1,5,20,2,1,17,70,1,0,0,1,3
470,martira03,220000,SS,1999,1,SFN,NL,61,144,21,38,6,0,5,19,1,2,14,17,0,0,6,1,2
414,lansimi01,6250000,2B,1999,1,COL,NL,35,145,24,45,9,0,4,15,2,0,7,22,0,1,1,1,3
300,hamilda02,3633333,OF,1999,1,COL,NL,91,337,63,102,11,3,4,24,4,5,38,21,0,1,2,1,7
836,womacto01,2500000,SS,1999,1,ARI,NL,144,614,111,170,25,10,4,41,72,13,52,68,0,2,9,7,4
126,cedenro01,2400000,OF,1999,1,NYN,NL,155,453,90,142,23,4,4,36,66,17,60,100,3,3,7,2,5
718,spierbi01,1700000,SS,1999,1,HOU,NL,127,393,56,113,18,5,4,39,10,5,47,45,2,0,3,1,10
209,eusebto01,1100000,C,1999,1,HOU,NL,103,323,31,88,15,0,4,33,0,0,40,67,4,0,0,0,9
310,haselbi01,1100000,C,1999,1,DET,AL,48,143,13,39,8,0,4,14,2,0,10,26,1,0,0,0,4
387,jordake01,1000000,3B,1999,1,PHI,NL,120,347,36,99,17,3,4,51,0,0,24,34,1,6,0,3,12
519,moranmi01,750000,2B,1999,1,CHN,NL,144,456,60,110,18,5,4,37,6,6,48,61,2,6,7,4,10
82,bogarti01,700000,SS,1999,1,HOU,NL,106,309,44,74,16,2,4,31,3,5,38,52,5,4,0,3,10
31,ariasal01,550000,SS,1999,1,PHI,NL,118,347,43,105,20,1,4,48,2,2,36,31,6,4,1,2,12
233,francma01,462500,P,1999,1,NYN,NL,122,132,18,31,5,0,4,21,0,0,28,21,3,0,0,1,9
122,castial01,425000,C,1999,1,SLN,NL,93,255,21,67,8,0,4,31,0,0,24,48,1,2,5,4,6
352,huntebr02,300000,OF,1999,2,SEA,AL,121,484,71,112,11,5,4,34,44,5,32,80,0,1,3,7,8
99,brownad01,285000,OF,1999,1,PIT,NL,116,226,34,61,5,2,4,17,5,3,33,39,2,1,6,1,5
829,wilsocr02,250000,SS,1999,1,CHA,AL,98,252,28,60,8,1,4,26,1,1,23,22,0,0,6,1,5
376,johnsma02,250000,C,1999,1,CHA,AL,73,207,27,47,11,0,4,16,3,1,36,58,0,2,1,2,2
132,chrisry01,221000,OF,1999,1,OAK,AL,106,268,41,56,12,1,4,24,7,5,38,58,0,1,8,4,6
296,hairsje02,205000,2B,1999,1,BAL,AL,50,175,26,47,12,1,4,17,9,4,11,24,0,3,4,0,2
268,goodwto01,3416667,OF,1999,1,TEX,AL,109,405,63,105,12,6,3,33,39,11,40,61,0,0,7,3,7
364,javiest01,1500000,OF,1999,1,SFN,NL,112,333,49,92,15,1,3,30,13,6,29,55,4,1,7,1,4
793,walbema01,925000,C,1999,1,ANA,AL,107,288,26,69,8,1,3,22,2,3,26,46,1,3,3,1,12
680,santafp01,750000,SS,1999,1,SFN,NL,113,254,49,66,17,3,3,26,12,4,53,54,0,11,5,2,1
14,alicelu01,750000,OF,1999,1,TEX,AL,68,164,33,33,10,0,3,17,2,1,28,32,0,0,3,1,4
476,mathemi01,750000,C,1999,1,TOR,AL,57,163,16,35,6,0,3,17,0,0,12,37,0,1,2,1,3
616,prattto02,500000,OF,1999,1,NYN,NL,71,140,18,41,4,0,3,21,2,0,15,32,0,3,0,2,0
114,cairomi01,295000,2B,1999,1,TBA,AL,120,465,61,137,15,5,3,36,22,7,24,46,0,7,7,5,13
71,bergda01,295000,SS,1999,1,FLO,NL,109,304,42,87,18,1,3,25,2,2,27,59,0,2,3,0,7
180,diazei01,237500,C,1999,1,CLE,AL,119,392,43,110,21,1,3,32,11,4,23,41,0,5,6,1,10
711,smithbo06,237500,3B,1999,1,TBA,AL,68,199,18,36,4,1,3,19,4,4,16,64,0,1,2,1,8
251,giambje01,228000,OF,1999,1,KCA,AL,90,288,34,82,13,1,3,34,0,0,40,67,5,3,1,4,7
330,hernara02,211000,C,1999,1,OAK,AL,40,136,13,38,7,0,3,21,1,0,18,11,0,1,1,2,5
845,younger01,4500000,2B,1999,1,LAN,NL,119,456,73,128,24,2,2,41,51,22,63,26,0,5,6,4,12
262,gonzaal01,3025000,SS,1999,1,TOR,AL,38,154,22,45,13,0,2,12,4,2,16,23,0,3,0,0,4
806,weisswa01,3000000,SS,1999,1,ATL,NL,110,279,38,63,13,4,2,29,7,3,35,48,1,3,6,4,1
426,lewisda01,2400000,OF,1999,1,BOS,AL,135,470,63,113,14,6,2,40,16,10,45,52,0,5,14,4,5
75,berryse01,2350000,1B,1999,1,MIL,NL,106,259,26,59,11,1,2,23,0,0,17,50,0,3,0,2,4
678,sanchre01,2300000,SS,1999,1,KCA,AL,134,479,66,141,18,6,2,56,11,5,22,48,2,4,10,3,14
256,girarjo01,2000000,C,1999,1,NYA,AL,65,209,23,50,16,1,2,27,3,1,10,26,0,0,8,2,16
478,maynebr01,1750000,C,1999,1,SFN,NL,117,322,39,97,32,0,2,39,2,2,43,65,5,5,1,3,16
528,muellbi02,1325000,3B,1999,1,SFN,NL,116,414,61,120,24,0,2,36,4,2,65,52,1,3,8,2,11
285,guerrwi01,825000,OF,1999,1,MON,NL,132,315,42,92,15,7,2,31,7,6,13,38,0,2,10,0,4
455,magadda01,775000,3B,1999,1,SDN,NL,116,248,20,68,12,1,2,30,1,3,45,36,2,0,0,7,10
573,osikke01,400000,P,1999,1,PIT,NL,66,167,12,31,3,1,2,13,0,0,11,30,0,1,1,1,8
288,guilljo01,375000,OF,1999,2,TBA,AL,47,168,24,41,10,0,2,13,0,0,10,36,1,7,0,1,9
43,bakopa01,275000,C,1999,1,HOU,NL,73,215,16,55,14,1,2,17,1,1,26,57,3,0,3,3,4
271,graffto01,270000,SS,1999,1,TBA,AL,39,130,20,41,9,4,2,19,3,2,9,22,0,1,2,0,1
831,wilsoen01,232500,SS,1999,1,CLE,AL,113,332,41,87,22,1,2,24,5,4,25,41,1,1,4,6,12
190,dunwoto01,232500,OF,1999,1,FLO,NL,64,186,20,41,6,3,2,20,3,4,12,41,0,1,0,1,1
548,nievejo01,217500,SS,1999,1,CHN,NL,54,181,16,45,9,1,2,18,0,2,8,25,0,4,3,3,5
787,vizcajo01,3500000,SS,1999,1,LAN,NL,94,266,27,67,9,0,1,29,2,1,20,23,0,1,9,2,9
733,stockke01,3300000,SS,1999,1,TBA,AL,79,254,39,76,11,2,1,27,9,7,24,41,0,4,4,0,4
183,disarga01,3225000,SS,1999,1,ANA,AL,81,271,32,62,7,1,1,29,2,2,15,32,0,2,9,1,8
261,gomezch02,2600000,SS,1999,1,SDN,NL,76,234,20,59,8,1,1,15,1,2,27,49,3,1,2,1,6
291,gutieri01,2500000,SS,1999,1,HOU,NL,85,268,33,70,7,5,1,25,2,5,37,45,4,2,3,1,9
786,vinafe01,2300000,2B,1999,1,MIL,NL,37,154,17,41,7,0,1,16,5,2,14,6,0,4,3,2,1
568,ordonre01,2250000,SS,1999,1,NYN,NL,154,520,49,134,24,2,1,60,8,4,49,59,12,1,11,7,16
480,mccraqu01,1850000,OF,1999,1,TBA,AL,40,148,20,37,6,1,1,18,6,5,14,23,0,1,1,1,7
438,lockhke01,1000000,3B,1999,1,ATL,NL,108,161,20,42,3,1,1,21,3,1,19,21,0,1,0,3,2
631,reedje02,1000000,C,1999,2,CHN,NL,57,150,18,39,11,2,1,17,1,1,28,34,0,2,0,1,4
67,benjami01,700000,SS,1999,1,PIT,NL,110,368,42,91,26,7,1,37,10,1,20,90,3,2,11,3,3
578,palmeor01,550000,OF,1999,1,ANA,AL,109,317,46,88,12,1,1,23,5,5,39,30,1,6,6,3,4
563,olivejo01,500000,C,1999,1,PIT,NL,45,134,10,27,8,0,1,13,2,0,10,33,0,0,0,2,4
691,sefcike01,475000,OF,1999,1,PHI,NL,111,209,28,58,15,3,1,11,9,4,29,24,0,1,3,0,4
375,johnsla03,350000,OF,1999,1,CHN,NL,95,335,46,87,11,6,1,21,13,3,37,20,0,0,4,1,6
637,relafde01,345000,SS,1999,1,PHI,NL,65,211,31,51,11,2,1,26,4,3,19,34,2,6,6,0,5
629,redmomi01,245000,C,1999,1,FLO,NL,84,242,22,73,9,0,1,27,0,0,26,34,2,5,5,0,8
236,friasha01,243500,SS,1999,1,ARI,NL,69,150,27,41,3,2,1,16,4,3,29,18,2,0,1,0,2
292,guzmacr01,230000,SS,1999,1,MIN,AL,131,420,47,95,12,3,1,26,9,7,22,90,0,3,7,4,5
606,polanpl01,220000,SS,1999,1,SLN,NL,88,220,24,61,9,3,1,19,1,3,15,24,1,0,3,2,7
307,harrile01,1100000,OF,1999,1,COL,NL,91,158,15,47,12,0,0,13,1,1,6,6,0,0,0,0,7
11,alexama02,612500,SS,1999,1,CHN,NL,90,177,17,48,11,2,0,15,4,0,10,38,0,0,1,1,1
627,rebouje01,575000,SS,1999,1,BAL,AL,99,154,25,25,4,0,0,4,1,0,33,29,0,2,3,0,1
418,ledesaa01,525000,SS,1999,1,TBA,AL,93,294,32,78,15,0,0,30,1,1,14,35,1,3,1,0,14
20,amarari01,500000,OF,1999,1,BAL,AL,91,137,21,38,8,1,0,11,9,6,15,20,0,1,1,2,1
123,castilu01,390000,2B,1999,1,FLO,NL,128,487,76,147,23,4,0,28,50,17,67,85,0,0,6,3,3
356,husonje01,300000,SS,1999,1,ANA,AL,97,225,21,59,7,1,0,18,10,1,16,27,0,0,1,3,9
612,posesc01,232500,OF,1999,1,KCA,AL,86,137,27,39,3,0,0,12,6,2,21,22,1,0,1,1,3
