,playerID,salary,POS,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
575,owenser01,370000,OF,1999,1,SDN,NL,149,440,55,117,22,3,9,61,33,7,38,50,2,3,2,2,12
357,ibanera01,275000,OF,1999,1,SEA,AL,87,209,23,54,7,0,9,27,5,1,17,32,1,0,0,1,4
502,millake01,265000,OF,1999,1,FLO,NL,105,351,48,100,17,4,9,67,1,0,40,64,2,7,1,8,7
417,ledeeri01,240000,OF,1999,1,NYA,AL,88,250,45,69,13,5,9,40,4,3,28,73,5,0,0,2,2
353,hunteto01,225000,OF,1999,1,MIN,AL,135,384,52,98,17,2,9,35,10,6,26,72,1,6,1,5,9
383,jonesja04,225000,OF,1999,1,MIN,AL,95,322,54,93,24,2,9,44,3,4,17,63,1,4,1,3,7
295,gwynnto01,6300000,OF,1999,1,SDN,NL,111,411,59,139,27,0,10,62,7,2,29,14,5,2,0,4,15
607,polonlu01,1100000,OF,1999,1,DET,AL,87,333,46,108,21,8,10,32,17,9,16,32,0,2,2,2,2
581,paquecr01,595000,OF,1999,1,SLN,NL,48,157,21,45,6,0,10,37,1,0,6,38,0,0,1,2,6
227,floydcl01,4500000,OF,1999,1,FLO,NL,69,251,37,76,19,1,11,49,5,6,30,47,5,2,0,2,8
257,glanvdo01,2016667,OF,1999,1,PHI,NL,150,628,101,204,38,6,11,73,34,2,48,82,1,6,5,5,9
767,tuckemi01,1700000,OF,1999,1,CIN,NL,133,296,55,75,8,5,11,44,11,4,37,81,3,3,0,4,5
731,stewash01,683333,OF,1999,1,TOR,AL,145,608,102,185,28,2,11,67,37,14,59,83,0,8,3,4,12
409,koskico01,245000,OF,1999,1,MIN,AL,117,342,42,106,21,0,11,58,4,4,40,72,4,5,2,3,6
57,bellde01,5000000,OF,1999,1,HOU,NL,128,509,61,120,22,0,12,66,18,6,50,129,1,4,0,5,20
334,higgibo02,4425000,OF,1999,1,DET,AL,107,377,51,90,18,0,12,46,4,6,64,66,2,2,0,2,2
317,henderi01,2000000,OF,1999,1,NYN,NL,121,438,89,138,30,0,12,42,37,14,82,82,1,2,1,3,4
275,greenwi01,395000,OF,1999,1,TOR,AL,81,226,22,46,7,0,12,41,0,0,20,56,0,0,0,2,4
784,vidrojo01,340000,OF,1999,1,MON,NL,140,494,67,150,45,2,12,59,0,4,29,51,2,4,2,2,12
38,avenbr01,320000,OF,1999,1,FLO,NL,137,381,57,110,19,2,12,70,3,0,44,82,1,9,0,6,6
205,erstada01,2500000,OF,1999,1,ANA,AL,142,585,84,148,22,5,13,53,13,7,47,101,3,1,2,3,16
146,coninje01,2500000,OF,1999,1,BAL,AL,139,444,54,129,31,1,13,75,0,3,30,40,0,3,1,7,12
186,drewjd01,1750000,OF,1999,1,SLN,NL,104,368,72,89,16,6,13,39,19,3,50,77,0,6,3,3,4
167,damonjo01,4000000,OF,1999,1,KCA,AL,145,583,101,179,39,9,14,77,36,6,67,50,5,3,3,4,13
815,whitede03,4000000,OF,1999,1,LAN,NL,134,474,60,127,20,2,14,68,19,5,39,88,2,11,0,2,10
844,youngdm01,1950000,OF,1999,1,CIN,NL,127,373,63,112,30,2,14,56,3,1,30,71,1,2,0,4,11
104,buhneja01,1450000,OF,1999,1,SEA,AL,87,266,37,59,11,0,14,38,0,0,69,100,0,5,0,3,6
247,garcika01,700000,OF,1999,1,DET,AL,96,288,38,69,10,3,14,32,2,4,20,67,1,0,0,1,2
155,cordoma01,500000,OF,1999,1,MIN,AL,124,425,62,121,28,3,14,70,13,4,48,96,2,9,0,6,22
162,cruzjo02,395000,OF,1999,1,TOR,AL,106,349,63,84,19,3,14,45,14,4,64,91,5,0,1,0,6
765,trammbu01,253000,OF,1999,1,TBA,AL,82,283,49,82,19,0,14,39,0,2,43,37,1,1,0,1,7
6,agbaybe01,220000,OF,1999,1,NYN,NL,101,276,42,79,18,3,14,42,6,4,32,60,4,3,0,3,8
413,lankfra01,7600000,OF,1999,1,SLN,NL,122,422,77,129,32,1,15,63,14,4,49,110,3,3,0,2,6
354,huskebu01,500000,OF,1999,1,SEA,AL,74,262,44,76,9,0,15,49,3,1,27,45,0,0,0,3,3
333,hidalri01,330000,OF,1999,1,HOU,NL,108,383,49,87,25,2,15,56,8,5,56,73,2,4,0,5,5
550,nixontr01,270000,OF,1999,1,BOS,AL,124,381,67,103,22,5,15,52,3,1,53,75,1,3,2,8,7
77,biggicr01,6750000,OF,1999,1,HOU,NL,160,639,123,188,56,0,16,73,28,14,88,107,9,11,5,6,5
148,coomero01,1500000,OF,1999,1,MIN,AL,127,467,53,123,25,1,16,65,2,1,30,69,1,1,0,3,16
64,benarma01,1125000,OF,1999,1,SFN,NL,149,562,100,163,36,5,16,64,27,14,55,97,2,6,1,1,5
100,brownbr01,315000,OF,1999,1,PIT,NL,130,341,49,79,20,3,16,58,3,4,22,114,3,4,0,4,4
419,leeca01,275000,OF,1999,1,CHA,AL,127,492,66,144,32,2,16,84,4,2,13,72,0,4,1,7,11
676,salmoti01,6000000,OF,1999,1,ANA,AL,98,353,60,94,24,2,17,69,4,1,63,82,2,0,0,6,7
243,gantro01,5066667,OF,1999,1,PHI,NL,138,516,107,134,27,5,17,77,13,3,85,112,0,1,0,3,6
303,hammoje01,3183333,OF,1999,1,CIN,NL,123,262,43,73,13,0,17,41,3,6,27,64,0,1,2,1,4
824,willige02,2373439,OF,1999,1,ATL,NL,143,422,76,116,24,1,17,68,19,11,33,67,1,6,4,2,8
707,singlch01,285000,OF,1999,1,CHA,AL,133,496,72,149,31,6,17,72,20,5,22,45,1,1,4,6,10
391,kaplega01,280000,OF,1999,1,DET,AL,130,416,60,102,22,4,18,49,11,5,42,74,0,2,4,4,7
565,oneilpa01,6500000,OF,1999,1,NYA,AL,153,597,70,170,39,4,19,110,11,9,66,89,1,2,0,10,24
202,encarju01,325000,OF,1999,1,DET,AL,132,509,62,130,30,6,19,74,33,12,14,113,1,9,4,2,12
280,grissma02,5000000,OF,1999,1,MIL,NL,154,603,92,161,27,1,20,83,24,6,49,109,4,0,4,5,12
276,greerru01,3600000,OF,1999,1,TEX,AL,147,556,107,167,41,3,20,101,2,2,96,67,2,5,0,5,17
3,abreubo01,2933333,OF,1999,1,PHI,NL,152,546,118,183,35,11,20,93,27,9,109,113,8,3,0,4,13
335,hillgl01,1500000,OF,1999,1,CHN,NL,99,253,43,76,9,1,20,55,5,1,22,61,1,0,0,3,7
389,justida01,7000000,OF,1999,1,CLE,AL,133,429,75,123,18,0,21,88,1,3,94,90,11,2,0,5,14
404,kleskry01,5750000,OF,1999,1,ATL,NL,133,404,55,120,28,2,21,80,5,2,53,69,8,2,0,7,6
23,anderga01,3250000,OF,1999,1,ANA,AL,157,620,88,188,36,2,21,80,3,4,34,81,8,0,0,6,15
115,camermi01,2225000,OF,1999,1,CIN,NL,146,542,93,139,34,9,21,66,38,12,80,145,2,6,5,3,4
169,daubabr01,295000,OF,1999,1,BOS,AL,110,381,61,112,33,3,21,73,0,1,36,92,0,3,0,0,5
367,jenkige01,282000,OF,1999,1,MIL,NL,135,447,70,140,43,3,21,82,5,1,35,87,7,7,3,1,10
818,whitero02,4000000,OF,1999,1,MON,NL,138,539,83,168,26,6,22,64,10,6,32,85,2,11,0,6,17
63,beltrca01,350000,OF,1999,1,KCA,AL,156,663,112,194,27,7,22,108,27,8,46,123,2,4,0,10,17
386,jordabr01,7600000,OF,1999,1,ATL,NL,153,576,100,163,28,4,23,115,13,8,51,81,2,9,0,9,9
655,riverru01,700000,OF,1999,1,SDN,NL,147,411,65,80,16,1,23,48,18,7,55,143,1,5,0,4,9
21,anderbr01,7127199,OF,1999,1,BAL,AL,150,564,109,159,28,5,24,81,36,7,96,105,7,24,1,7,6
465,martial03,1750000,OF,1999,1,PIT,NL,143,541,97,150,36,8,24,63,20,3,49,119,5,1,0,2,8
546,nevinph01,875000,OF,1999,1,SDN,NL,128,383,52,103,27,0,24,85,1,0,51,82,1,1,1,5,7
822,willibe02,12357143,OF,1999,1,NYA,AL,158,591,116,202,28,6,25,115,9,10,100,95,17,1,0,5,11
210,evereca01,5000333,OF,1999,1,HOU,NL,123,464,86,151,33,3,25,108,27,7,50,94,5,11,2,8,5
660,rodrihe02,4600000,OF,1999,1,CHN,NL,130,447,72,136,29,0,26,87,2,4,56,113,6,0,0,1,9
379,jonesan01,3700000,OF,1999,1,ATL,NL,162,592,97,163,35,5,26,84,24,12,76,103,11,9,0,2,12
679,sandere02,3700000,OF,1999,1,SDN,NL,133,478,92,136,24,7,26,72,36,13,65,108,1,6,0,1,10
265,gonzalu01,3333333,OF,1999,1,ARI,NL,153,614,112,206,45,4,26,111,9,5,66,63,6,7,1,5,13
832,wilsopr01,287000,OF,1999,1,FLO,NL,149,482,67,135,21,4,26,71,11,4,46,156,3,9,0,6,15
194,dyeje01,2300000,OF,1999,1,KCA,AL,158,608,96,179,44,8,27,119,2,3,58,119,4,1,0,6,17
740,surhobj01,4146789,OF,1999,1,BAL,AL,162,673,104,207,38,1,28,107,5,1,43,78,1,2,1,8,15
558,oleartr01,4000000,OF,1999,1,BOS,AL,157,596,84,167,36,4,28,103,1,2,56,91,5,4,0,5,21
277,grievbe01,750000,OF,1999,1,OAK,AL,148,486,80,129,21,0,28,86,4,0,63,108,2,8,0,1,17
567,ordonma01,425000,OF,1999,1,CHA,AL,157,624,100,188,34,3,30,117,13,6,47,64,4,1,0,5,24
107,burksel01,5500000,OF,1999,1,SFN,NL,120,390,73,110,19,0,31,96,7,5,69,86,2,6,0,4,11
698,sexsori01,247000,OF,1999,1,CLE,AL,134,479,72,122,17,7,31,116,3,3,34,117,0,4,0,8,19
516,mondera01,10000000,OF,1999,1,LAN,NL,159,601,98,152,29,5,33,99,36,9,71,134,6,3,0,5,3
109,burnije01,4462500,OF,1999,1,MIL,NL,130,467,87,126,33,2,33,103,7,3,91,124,7,16,0,6,11
84,bondsba01,10658826,OF,1999,1,SFN,NL,102,355,91,93,20,2,34,83,15,2,73,62,9,3,0,3,6
700,sheffga01,9916667,OF,1999,1,LAN,NL,152,549,103,165,20,0,34,101,11,5,101,64,4,4,0,9,10
76,bicheda01,7000000,OF,1999,1,COL,NL,151,593,104,177,38,2,34,133,6,6,54,84,3,2,0,10,15
222,finlest01,5375000,OF,1999,1,ARI,NL,156,590,100,156,32,10,34,103,8,4,63,94,7,3,2,5,4
118,cansejo01,3000000,OF,1999,1,TBA,AL,113,430,75,120,18,1,34,95,3,0,58,135,3,7,0,7,14
58,belleal01,12868670,OF,1999,1,BAL,AL,161,610,108,181,36,1,37,117,17,3,101,82,15,7,0,4,19
794,walkela01,12142857,OF,1999,1,COL,NL,127,438,108,166,26,4,37,115,11,4,57,52,8,12,0,6,12
724,stairma01,3050000,OF,1999,1,OAK,AL,146,531,94,137,26,3,38,102,2,7,89,124,6,2,0,1,8
264,gonzaju03,7500000,OF,1999,1,TEX,AL,144,562,114,183,36,1,39,128,3,3,51,105,7,4,0,12,10
253,gilesbr02,1816667,OF,1999,1,PIT,NL,141,521,109,164,33,3,39,115,6,2,95,80,7,3,0,8,14
274,greensh01,9416667,OF,1999,1,TOR,AL,153,614,134,190,45,0,42,123,20,7,66,117,4,11,0,5,13
284,guerrvl01,3500000,OF,1999,1,MON,NL,160,610,102,193,37,5,42,131,14,7,55,62,14,7,0,2,18
624,ramirma02,4250000,OF,1999,1,CLE,AL,147,522,131,174,34,3,44,165,2,4,96,131,9,13,0,9,12
774,vaughgr01,7097962,OF,1999,1,CIN,NL,153,550,104,135,20,2,45,118,15,2,85,137,3,3,0,5,9
278,griffke02,9329700,OF,1999,1,SEA,AL,160,606,123,173,26,3,48,134,24,7,91,108,17,7,0,2,8
716,sosasa01,11000000,OF,1999,1,CHN,NL,162,625,114,180,24,2,63,141,7,8,78,171,8,3,0,6,17
573,osikke01,400000,OF,1999,1,PIT,NL,66,167,12,31,3,1,2,13,0,0,11,30,0,1,1,1,8
233,francma01,462500,OF,1999,1,NYN,NL,122,132,18,31,5,0,4,21,0,0,28,21,3,0,0,1,9
